year,sex,maturity,shell condition,size,ss,abundance
1981,male,undetermined,new shell,35,10386,0
1981,male,undetermined,new shell,40,10386,0
1981,male,undetermined,new shell,45,10386,0
1981,male,undetermined,new shell,50,10386,0
1981,male,undetermined,new shell,55,10386,0
1981,male,undetermined,new shell,60,10386,0
1981,male,undetermined,new shell,65,10386,0
1981,male,undetermined,new shell,70,10386,0
1981,male,undetermined,new shell,75,10386,0
1981,male,undetermined,new shell,80,10386,0
1981,male,undetermined,new shell,85,10386,0
1981,male,undetermined,new shell,90,10386,0
1981,male,undetermined,new shell,95,10386,0
1981,male,undetermined,new shell,100,10386,0
1981,male,undetermined,new shell,105,10386,854.2091769074352
1981,male,undetermined,new shell,110,10386,1708.4183538148704
1981,male,undetermined,new shell,115,10386,3843.9412960834584
1981,male,undetermined,new shell,120,10386,8542.091769074352
1981,male,undetermined,new shell,125,10386,11531.823888250376
1981,male,undetermined,new shell,130,10386,41429.14508001061
1981,male,undetermined,new shell,135,10386,505264.72814074793
1981,male,undetermined,new shell,140,10386,1098085.896914508
1981,male,undetermined,new shell,145,10386,923400.1202369374
1981,male,undetermined,new shell,150,10386,730775.9508443109
1981,male,undetermined,new shell,155,10386,518504.9703828132
1981,male,undetermined,new shell,160,10386,318192.9183980196
1981,male,undetermined,new shell,165,10386,136673.46830518963
1981,male,undetermined,new shell,170,10386,109338.77464415171
1981,male,undetermined,new shell,175,10386,20501.020245778443
1981,male,undetermined,new shell,180,10386,7260.7780037132
1981,male,undetermined,old shell,25,925,0
1981,male,undetermined,old shell,30,925,0
1981,male,undetermined,old shell,35,925,0
1981,male,undetermined,old shell,40,925,0
1981,male,undetermined,old shell,45,925,0
1981,male,undetermined,old shell,50,925,0
1981,male,undetermined,old shell,55,925,0
1981,male,undetermined,old shell,60,925,0
1981,male,undetermined,old shell,65,925,0
1981,male,undetermined,old shell,70,925,0
1981,male,undetermined,old shell,75,925,0
1981,male,undetermined,old shell,80,925,0
1981,male,undetermined,old shell,85,925,0
1981,male,undetermined,old shell,90,925,0
1981,male,undetermined,old shell,95,925,0
1981,male,undetermined,old shell,100,925,0
1981,male,undetermined,old shell,105,925,0
1981,male,undetermined,old shell,110,925,0
1981,male,undetermined,old shell,115,925,427.1045884537176
1981,male,undetermined,old shell,120,925,427.1045884537176
1981,male,undetermined,old shell,125,925,1281.3137653611527
1981,male,undetermined,old shell,130,925,1708.4183538148704
1981,male,undetermined,old shell,135,925,44845.98178764035
1981,male,undetermined,old shell,140,925,105494.83334806825
1981,male,undetermined,old shell,145,925,96525.6369905402
1981,male,undetermined,old shell,150,925,61503.060737335334
1981,male,undetermined,old shell,155,925,37585.20378392715
1981,male,undetermined,old shell,160,925,23063.64777650075
1981,male,undetermined,old shell,165,925,13667.346830518964
1981,male,undetermined,old shell,170,925,4698.150472990894
1981,male,undetermined,old shell,175,925,1708.4183538148704
1981,male,undetermined,old shell,180,925,2135.522942268588
1982,male,undetermined,new shell,25,9540,0
1982,male,undetermined,new shell,30,9540,0
1982,male,undetermined,new shell,35,9540,0
1982,male,undetermined,new shell,40,9540,0
1982,male,undetermined,new shell,45,9540,0
1982,male,undetermined,new shell,50,9540,0
1982,male,undetermined,new shell,55,9540,0
1982,male,undetermined,new shell,60,9540,0
1982,male,undetermined,new shell,65,9540,0
1982,male,undetermined,new shell,70,9540,0
1982,male,undetermined,new shell,75,9540,0
1982,male,undetermined,new shell,80,9540,0
1982,male,undetermined,new shell,85,9540,0
1982,male,undetermined,new shell,90,9540,169.15126858495452
1982,male,undetermined,new shell,95,9540,0
1982,male,undetermined,new shell,100,9540,0
1982,male,undetermined,new shell,105,9540,169.15126858495452
1982,male,undetermined,new shell,110,9540,507.4538057548635
1982,male,undetermined,new shell,115,9540,1353.2101486796362
1982,male,undetermined,new shell,120,9540,1860.6639544344996
1982,male,undetermined,new shell,125,9540,4059.630446038908
1982,male,undetermined,new shell,130,9540,8795.865966417636
1982,male,undetermined,new shell,135,9540,141748.7630741919
1982,male,undetermined,new shell,140,9540,386172.34617945115
1982,male,undetermined,new shell,145,9540,366381.64775501145
1982,male,undetermined,new shell,150,9540,316820.32605961984
1982,male,undetermined,new shell,155,9540,208394.36289666395
1982,male,undetermined,new shell,160,9540,109948.32458022042
1982,male,undetermined,new shell,165,9540,43979.32983208817
1982,male,undetermined,new shell,170,9540,15900.219246985724
1982,male,undetermined,new shell,175,9540,5243.689326133589
1982,male,undetermined,new shell,180,9540,2198.966491604409
1982,male,undetermined,old shell,25,3979,0
1982,male,undetermined,old shell,30,3979,0
1982,male,undetermined,old shell,35,3979,0
1982,male,undetermined,old shell,40,3979,0
1982,male,undetermined,old shell,45,3979,0
1982,male,undetermined,old shell,50,3979,0
1982,male,undetermined,old shell,55,3979,0
1982,male,undetermined,old shell,60,3979,0
1982,male,undetermined,old shell,65,3979,0
1982,male,undetermined,old shell,70,3979,0
1982,male,undetermined,old shell,75,3979,0
1982,male,undetermined,old shell,80,3979,0
1982,male,undetermined,old shell,85,3979,0
1982,male,undetermined,old shell,90,3979,0
1982,male,undetermined,old shell,95,3979,0
1982,male,undetermined,old shell,100,3979,0
1982,male,undetermined,old shell,105,3979,0
1982,male,undetermined,old shell,110,3979,169.15126858495452
1982,male,undetermined,old shell,115,3979,338.30253716990904
1982,male,undetermined,old shell,120,3979,338.30253716990904
1982,male,undetermined,old shell,125,3979,1014.907611509727
1982,male,undetermined,old shell,130,3979,3890.479177453954
1982,male,undetermined,old shell,135,3979,85083.08809823211
1982,male,undetermined,old shell,140,3979,168474.6635106147
1982,male,undetermined,old shell,145,3979,144116.88083438124
1982,male,undetermined,old shell,150,3979,115530.31644352393
1982,male,undetermined,old shell,155,3979,69690.32265700126
1982,male,undetermined,old shell,160,3979,47024.052666617354
1982,male,undetermined,old shell,165,3979,21651.36237887418
1982,male,undetermined,old shell,170,3979,9810.773577927363
1982,male,undetermined,old shell,175,3979,4736.235520378726
1982,male,undetermined,old shell,180,3979,1184.0588800946814
1983,male,undetermined,new shell,25,679,0
1983,male,undetermined,new shell,30,679,0
1983,male,undetermined,new shell,35,679,0
1983,male,undetermined,new shell,40,679,0
1983,male,undetermined,new shell,45,679,0
1983,male,undetermined,new shell,50,679,0
1983,male,undetermined,new shell,55,679,0
1983,male,undetermined,new shell,60,679,0
1983,male,undetermined,new shell,65,679,0
1983,male,undetermined,new shell,70,679,0
1983,male,undetermined,new shell,75,679,0
1983,male,undetermined,new shell,80,679,0
1983,male,undetermined,new shell,85,679,0
1983,male,undetermined,new shell,90,679,0
1983,male,undetermined,new shell,95,679,0
1983,male,undetermined,new shell,100,679,0
1983,male,undetermined,new shell,105,679,0
1983,male,undetermined,new shell,110,679,0
1983,male,undetermined,new shell,115,679,0
1983,male,undetermined,new shell,120,679,308.58328358208956
1983,male,undetermined,new shell,125,679,617.1665671641791
1983,male,undetermined,new shell,130,679,1851.4997014925373
1983,male,undetermined,new shell,135,679,32709.828059701496
1983,male,undetermined,new shell,140,679,61099.49014925373
1983,male,undetermined,new shell,145,679,45670.32597014925
1983,male,undetermined,new shell,150,679,33326.99462686567
1983,male,undetermined,new shell,155,679,21292.24656716418
1983,male,undetermined,new shell,160,679,10491.831641791045
1983,male,undetermined,new shell,165,679,1851.4997014925373
1983,male,undetermined,new shell,170,679,308.58328358208956
1983,male,undetermined,new shell,175,679,0
1983,male,undetermined,new shell,180,679,0
1983,male,undetermined,old shell,25,996,0
1983,male,undetermined,old shell,30,996,0
1983,male,undetermined,old shell,35,996,0
1983,male,undetermined,old shell,40,996,0
1983,male,undetermined,old shell,45,996,0
1983,male,undetermined,old shell,50,996,0
1983,male,undetermined,old shell,55,996,0
1983,male,undetermined,old shell,60,996,0
1983,male,undetermined,old shell,65,996,0
1983,male,undetermined,old shell,70,996,0
1983,male,undetermined,old shell,75,996,0
1983,male,undetermined,old shell,80,996,0
1983,male,undetermined,old shell,85,996,0
1983,male,undetermined,old shell,90,996,0
1983,male,undetermined,old shell,95,996,308.58328358208956
1983,male,undetermined,old shell,100,996,0
1983,male,undetermined,old shell,105,996,0
1983,male,undetermined,old shell,110,996,1542.9164179104478
1983,male,undetermined,old shell,115,996,308.58328358208956
1983,male,undetermined,old shell,120,996,308.58328358208956
1983,male,undetermined,old shell,125,996,2160.082985074627
1983,male,undetermined,old shell,130,996,2777.249552238806
1983,male,undetermined,old shell,135,996,48138.99223880597
1983,male,undetermined,old shell,140,996,93809.31820895523
1983,male,undetermined,old shell,145,996,65419.65611940299
1983,male,undetermined,old shell,150,996,44744.57611940299
1983,male,undetermined,old shell,155,996,26846.74567164179
1983,male,undetermined,old shell,160,996,11108.998208955223
1983,male,undetermined,old shell,165,996,7097.41552238806
1983,male,undetermined,old shell,170,996,1234.3331343283583
1983,male,undetermined,old shell,175,996,1542.9164179104478
1983,male,undetermined,old shell,180,996,0
1984,male,undetermined,new shell,25,1649,0
1984,male,undetermined,new shell,30,1649,0
1984,male,undetermined,new shell,35,1649,0
1984,male,undetermined,new shell,40,1649,0
1984,male,undetermined,new shell,45,1649,0
1984,male,undetermined,new shell,50,1649,0
1984,male,undetermined,new shell,55,1649,0
1984,male,undetermined,new shell,60,1649,0
1984,male,undetermined,new shell,65,1649,0
1984,male,undetermined,new shell,70,1649,0
1984,male,undetermined,new shell,75,1649,0
1984,male,undetermined,new shell,80,1649,0
1984,male,undetermined,new shell,85,1649,0
1984,male,undetermined,new shell,90,1649,0
1984,male,undetermined,new shell,95,1649,0
1984,male,undetermined,new shell,100,1649,0
1984,male,undetermined,new shell,105,1649,0
1984,male,undetermined,new shell,110,1649,0
1984,male,undetermined,new shell,115,1649,0
1984,male,undetermined,new shell,120,1649,0
1984,male,undetermined,new shell,125,1649,0
1984,male,undetermined,new shell,130,1649,500.5904799370574
1984,male,undetermined,new shell,135,1649,62573.80999213218
1984,male,undetermined,new shell,140,1649,147173.6011014949
1984,male,undetermined,new shell,145,1649,150177.14398111723
1984,male,undetermined,new shell,150,1649,159187.77261998426
1984,male,undetermined,new shell,155,1649,148675.37254130605
1984,male,undetermined,new shell,160,1649,99617.50550747442
1984,male,undetermined,new shell,165,1649,38545.466955153424
1984,male,undetermined,new shell,170,1649,17520.66679779701
1984,male,undetermined,new shell,175,1649,1501.7714398111723
1984,male,undetermined,new shell,180,1649,0
1984,male,undetermined,old shell,25,893,0
1984,male,undetermined,old shell,30,893,0
1984,male,undetermined,old shell,35,893,0
1984,male,undetermined,old shell,40,893,0
1984,male,undetermined,old shell,45,893,0
1984,male,undetermined,old shell,50,893,0
1984,male,undetermined,old shell,55,893,0
1984,male,undetermined,old shell,60,893,0
1984,male,undetermined,old shell,65,893,0
1984,male,undetermined,old shell,70,893,0
1984,male,undetermined,old shell,75,893,0
1984,male,undetermined,old shell,80,893,0
1984,male,undetermined,old shell,85,893,0
1984,male,undetermined,old shell,90,893,0
1984,male,undetermined,old shell,95,893,0
1984,male,undetermined,old shell,100,893,0
1984,male,undetermined,old shell,105,893,0
1984,male,undetermined,old shell,110,893,0
1984,male,undetermined,old shell,115,893,0
1984,male,undetermined,old shell,120,893,0
1984,male,undetermined,old shell,125,893,1001.1809598741148
1984,male,undetermined,old shell,130,893,5506.495279307633
1984,male,undetermined,old shell,135,893,69582.07671125098
1984,male,undetermined,old shell,140,893,120642.30566483084
1984,male,undetermined,old shell,145,893,94111.0102281668
1984,male,undetermined,old shell,150,893,71083.84815106215
1984,male,undetermined,old shell,155,893,45053.14319433517
1984,male,undetermined,old shell,160,893,23027.162077104644
1984,male,undetermined,old shell,165,893,10011.809598741149
1984,male,undetermined,old shell,170,893,5005.904799370574
1984,male,undetermined,old shell,175,893,1501.7714398111723
1984,male,undetermined,old shell,180,893,500.5904799370574
1988,male,undetermined,new shell,25,11277,0
1988,male,undetermined,new shell,30,11277,0
1988,male,undetermined,new shell,35,11277,0
1988,male,undetermined,new shell,40,11277,0
1988,male,undetermined,new shell,45,11277,0
1988,male,undetermined,new shell,50,11277,0
1988,male,undetermined,new shell,55,11277,0
1988,male,undetermined,new shell,60,11277,0
1988,male,undetermined,new shell,65,11277,0
1988,male,undetermined,new shell,70,11277,0
1988,male,undetermined,new shell,75,11277,0
1988,male,undetermined,new shell,80,11277,0
1988,male,undetermined,new shell,85,11277,0
1988,male,undetermined,new shell,90,11277,0
1988,male,undetermined,new shell,95,11277,0
1988,male,undetermined,new shell,100,11277,0
1988,male,undetermined,new shell,105,11277,0
1988,male,undetermined,new shell,110,11277,0
1988,male,undetermined,new shell,115,11277,0
1988,male,undetermined,new shell,120,11277,0
1988,male,undetermined,new shell,125,11277,0
1988,male,undetermined,new shell,130,11277,0
1988,male,undetermined,new shell,135,11277,74816.93053311793
1988,male,undetermined,new shell,140,11277,666572.0904684975
1988,male,undetermined,new shell,145,11277,583572.0581583198
1988,male,undetermined,new shell,150,11277,516704.4264943457
1988,male,undetermined,new shell,155,11277,425287.4894991922
1988,male,undetermined,new shell,160,11277,220008.5363489499
1988,male,undetermined,new shell,165,11277,104276.09693053311
1988,male,undetermined,new shell,170,11277,37642.26817447496
1988,male,undetermined,new shell,175,11277,6312.678513731825
1988,male,undetermined,new shell,180,11277,1402.8174474959612
1988,male,undetermined,old shell,25,1103,0
1988,male,undetermined,old shell,30,1103,0
1988,male,undetermined,old shell,35,1103,0
1988,male,undetermined,old shell,40,1103,0
1988,male,undetermined,old shell,45,1103,0
1988,male,undetermined,old shell,50,1103,0
1988,male,undetermined,old shell,55,1103,0
1988,male,undetermined,old shell,60,1103,0
1988,male,undetermined,old shell,65,1103,0
1988,male,undetermined,old shell,70,1103,0
1988,male,undetermined,old shell,75,1103,0
1988,male,undetermined,old shell,80,1103,0
1988,male,undetermined,old shell,85,1103,0
1988,male,undetermined,old shell,90,1103,0
1988,male,undetermined,old shell,95,1103,0
1988,male,undetermined,old shell,100,1103,0
1988,male,undetermined,old shell,105,1103,0
1988,male,undetermined,old shell,110,1103,0
1988,male,undetermined,old shell,115,1103,0
1988,male,undetermined,old shell,120,1103,0
1988,male,undetermined,old shell,125,1103,0
1988,male,undetermined,old shell,130,1103,0
1988,male,undetermined,old shell,135,1103,6312.678513731825
1988,male,undetermined,old shell,140,1103,57281.71243941842
1988,male,undetermined,old shell,145,1103,56580.30371567044
1988,male,undetermined,old shell,150,1103,57749.3182552504
1988,male,undetermined,old shell,155,1103,43954.946688206786
1988,male,undetermined,old shell,160,1103,25718.319870759293
1988,male,undetermined,old shell,165,1103,7247.890145395799
1988,male,undetermined,old shell,170,1103,3039.4378029079157
1988,male,undetermined,old shell,175,1103,0
1988,male,undetermined,old shell,180,1103,0
1989,male,undetermined,new shell,25,34184,0
1989,male,undetermined,new shell,30,34184,0
1989,male,undetermined,new shell,35,34184,0
1989,male,undetermined,new shell,40,34184,0
1989,male,undetermined,new shell,45,34184,0
1989,male,undetermined,new shell,50,34184,0
1989,male,undetermined,new shell,55,34184,0
1989,male,undetermined,new shell,60,34184,0
1989,male,undetermined,new shell,65,34184,0
1989,male,undetermined,new shell,70,34184,0
1989,male,undetermined,new shell,75,34184,0
1989,male,undetermined,new shell,80,34184,0
1989,male,undetermined,new shell,85,34184,0
1989,male,undetermined,new shell,90,34184,593.6481811102459
1989,male,undetermined,new shell,95,34184,0
1989,male,undetermined,new shell,100,34184,1484.1204527756147
1989,male,undetermined,new shell,105,34184,4749.185448881967
1989,male,undetermined,new shell,110,34184,3265.064996106352
1989,male,undetermined,new shell,115,34184,3858.7131772165976
1989,male,undetermined,new shell,120,34184,3265.064996106352
1989,male,undetermined,new shell,125,34184,6530.129992212704
1989,male,undetermined,new shell,130,34184,27010.99224051619
1989,male,undetermined,new shell,135,34184,550015.0397986427
1989,male,undetermined,new shell,140,34184,2945088.62648793
1989,male,undetermined,new shell,145,34184,2318789.7954166206
1989,male,undetermined,new shell,150,34184,1685960.8343530982
1989,male,undetermined,new shell,155,34184,1111012.5709478252
1989,male,undetermined,new shell,160,34184,731671.383218378
1989,male,undetermined,new shell,165,34184,410507.71723773505
1989,male,undetermined,new shell,170,34184,201840.38157748358
1989,male,undetermined,new shell,175,34184,94093.23670597398
1989,male,undetermined,new shell,180,34184,46898.20630770943
1989,male,undetermined,old shell,25,1772,0
1989,male,undetermined,old shell,30,1772,0
1989,male,undetermined,old shell,35,1772,0
1989,male,undetermined,old shell,40,1772,0
1989,male,undetermined,old shell,45,1772,0
1989,male,undetermined,old shell,50,1772,0
1989,male,undetermined,old shell,55,1772,0
1989,male,undetermined,old shell,60,1772,0
1989,male,undetermined,old shell,65,1772,0
1989,male,undetermined,old shell,70,1772,0
1989,male,undetermined,old shell,75,1772,0
1989,male,undetermined,old shell,80,1772,0
1989,male,undetermined,old shell,85,1772,0
1989,male,undetermined,old shell,90,1772,0
1989,male,undetermined,old shell,95,1772,0
1989,male,undetermined,old shell,100,1772,0
1989,male,undetermined,old shell,105,1772,0
1989,male,undetermined,old shell,110,1772,0
1989,male,undetermined,old shell,115,1772,0
1989,male,undetermined,old shell,120,1772,296.82409055512295
1989,male,undetermined,old shell,125,1772,0
1989,male,undetermined,old shell,130,1772,890.4722716653688
1989,male,undetermined,old shell,135,1772,25823.695878295694
1989,male,undetermined,old shell,140,1772,109824.91350539548
1989,male,undetermined,old shell,145,1772,110121.73759595062
1989,male,undetermined,old shell,150,1772,85188.51398932027
1989,male,undetermined,old shell,155,1772,66488.59628434754
1989,male,undetermined,old shell,160,1772,55506.10493380799
1989,male,undetermined,old shell,165,1772,37399.83540994549
1989,male,undetermined,old shell,170,1772,19887.214067193236
1989,male,undetermined,old shell,175,1772,10092.019078874178
1989,male,undetermined,old shell,180,1772,4452.361358326843
1990,male,undetermined,new shell,25,78310,0
1990,male,undetermined,new shell,30,78310,0
1990,male,undetermined,new shell,35,78310,0
1990,male,undetermined,new shell,40,78310,0
1990,male,undetermined,new shell,45,78310,0
1990,male,undetermined,new shell,50,78310,0
1990,male,undetermined,new shell,55,78310,0
1990,male,undetermined,new shell,60,78310,0
1990,male,undetermined,new shell,65,78310,0
1990,male,undetermined,new shell,70,78310,0
1990,male,undetermined,new shell,75,78310,0
1990,male,undetermined,new shell,80,78310,0
1990,male,undetermined,new shell,85,78310,0
1990,male,undetermined,new shell,90,78310,0
1990,male,undetermined,new shell,95,78310,0
1990,male,undetermined,new shell,100,78310,2185.693815049647
1990,male,undetermined,new shell,105,78310,3377.8904414403637
1990,male,undetermined,new shell,110,78310,5563.584256490011
1990,male,undetermined,new shell,115,78310,14505.058954420385
1990,male,undetermined,new shell,120,78310,21658.238712764683
1990,male,undetermined,new shell,125,78310,39342.48867089365
1990,male,undetermined,new shell,130,78310,98554.9211149659
1990,male,undetermined,new shell,135,78310,1040390.255963632
1990,male,undetermined,new shell,140,78310,3696803.03899988
1990,male,undetermined,new shell,145,78310,3304172.950041871
1990,male,undetermined,new shell,150,78310,2545141.0979064484
1990,male,undetermined,new shell,155,78310,1912680.787606173
1990,male,undetermined,new shell,160,78310,1303667.0109582485
1990,male,undetermined,new shell,165,78310,862355.5597559516
1990,male,undetermined,new shell,170,78310,477276.0494317502
1990,male,undetermined,new shell,175,78310,176246.40126809428
1990,male,undetermined,new shell,180,78310,56231.94087809546
1990,male,undetermined,old shell,25,5280,0
1990,male,undetermined,old shell,30,5280,0
1990,male,undetermined,old shell,35,5280,0
1990,male,undetermined,old shell,40,5280,0
1990,male,undetermined,old shell,45,5280,0
1990,male,undetermined,old shell,50,5280,0
1990,male,undetermined,old shell,55,5280,0
1990,male,undetermined,old shell,60,5280,0
1990,male,undetermined,old shell,65,5280,0
1990,male,undetermined,old shell,70,5280,0
1990,male,undetermined,old shell,75,5280,0
1990,male,undetermined,old shell,80,5280,0
1990,male,undetermined,old shell,85,5280,0
1990,male,undetermined,old shell,90,5280,0
1990,male,undetermined,old shell,95,5280,0
1990,male,undetermined,old shell,100,5280,397.39887546357215
1990,male,undetermined,old shell,105,5280,794.7977509271443
1990,male,undetermined,old shell,110,5280,993.4971886589306
1990,male,undetermined,old shell,115,5280,397.39887546357215
1990,male,undetermined,old shell,120,5280,596.0983131953583
1990,male,undetermined,old shell,125,5280,794.7977509271443
1990,male,undetermined,old shell,130,5280,5166.185381026438
1990,male,undetermined,old shell,135,5280,120809.25814092594
1990,male,undetermined,old shell,140,5280,335603.3503289867
1990,male,undetermined,old shell,145,5280,224729.0640746501
1990,male,undetermined,old shell,150,5280,138493.50809905492
1990,male,undetermined,old shell,155,5280,100343.21605455197
1990,male,undetermined,old shell,160,5280,60404.62907046297
1990,male,undetermined,old shell,165,5280,32189.308912549346
1990,male,undetermined,old shell,170,5280,18677.747146787893
1990,male,undetermined,old shell,175,5280,6954.480320612513
1990,male,undetermined,old shell,180,5280,1788.2949395860749
1991,male,undetermined,new shell,25,118583,0
1991,male,undetermined,new shell,30,118583,0
1991,male,undetermined,new shell,35,118583,0
1991,male,undetermined,new shell,40,118583,0
1991,male,undetermined,new shell,45,118583,0
1991,male,undetermined,new shell,50,118583,0
1991,male,undetermined,new shell,55,118583,0
1991,male,undetermined,new shell,60,118583,0
1991,male,undetermined,new shell,65,118583,0
1991,male,undetermined,new shell,70,118583,0
1991,male,undetermined,new shell,75,118583,0
1991,male,undetermined,new shell,80,118583,1015.8301303968498
1991,male,undetermined,new shell,85,118583,2133.243273833384
1991,male,undetermined,new shell,90,118583,1828.4942347143297
1991,male,undetermined,new shell,95,118583,3555.405456388974
1991,male,undetermined,new shell,100,118583,6399.729821500153
1991,male,undetermined,new shell,105,118583,5383.899691103304
1991,male,undetermined,new shell,110,118583,8837.722134452593
1991,male,undetermined,new shell,115,118583,11174.131434365347
1991,male,undetermined,new shell,120,118583,18996.02343842109
1991,male,undetermined,new shell,125,118583,24583.089155603764
1991,male,undetermined,new shell,130,118583,58511.81551085855
1991,male,undetermined,new shell,135,118583,733226.1881204462
1991,male,undetermined,new shell,140,118583,2892271.5472659105
1991,male,undetermined,new shell,145,118583,2698552.7413992314
1991,male,undetermined,new shell,150,118583,2079099.5278832326
1991,male,undetermined,new shell,155,118583,1517650.2148128934
1991,male,undetermined,new shell,160,118583,1015017.4662925323
1991,male,undetermined,new shell,165,118583,569372.7880874343
1991,male,undetermined,new shell,170,118583,279048.53682001465
1991,male,undetermined,new shell,175,118583,88783.55339668467
1991,male,undetermined,new shell,180,118583,30576.486924945173
1991,male,undetermined,old shell,25,8644,0
1991,male,undetermined,old shell,30,8644,0
1991,male,undetermined,old shell,35,8644,0
1991,male,undetermined,old shell,40,8644,0
1991,male,undetermined,old shell,45,8644,0
1991,male,undetermined,old shell,50,8644,0
1991,male,undetermined,old shell,55,8644,0
1991,male,undetermined,old shell,60,8644,0
1991,male,undetermined,old shell,65,8644,0
1991,male,undetermined,old shell,70,8644,0
1991,male,undetermined,old shell,75,8644,0
1991,male,undetermined,old shell,80,8644,0
1991,male,undetermined,old shell,85,8644,609.4980782381099
1991,male,undetermined,old shell,90,8644,1422.1621825555897
1991,male,undetermined,old shell,95,8644,812.6641043174798
1991,male,undetermined,old shell,100,8644,812.6641043174798
1991,male,undetermined,old shell,105,8644,812.6641043174798
1991,male,undetermined,old shell,110,8644,609.4980782381099
1991,male,undetermined,old shell,115,8644,1015.8301303968498
1991,male,undetermined,old shell,120,8644,609.4980782381099
1991,male,undetermined,old shell,125,8644,1828.4942347143297
1991,male,undetermined,old shell,130,8644,5282.316678063618
1991,male,undetermined,old shell,135,8644,50994.67254592186
1991,male,undetermined,old shell,140,8644,223279.46266122756
1991,male,undetermined,old shell,145,8644,187217.4930321394
1991,male,undetermined,old shell,150,8644,138559.22978613028
1991,male,undetermined,old shell,155,8644,104732.08644391519
1991,male,undetermined,old shell,160,8644,73546.10144073192
1991,male,undetermined,old shell,165,8644,49267.76132424721
1991,male,undetermined,old shell,170,8644,25598.91928600061
1991,male,undetermined,old shell,175,8644,9751.969251809758
1991,male,undetermined,old shell,180,8644,1320.5791695159046
1992,male,undetermined,new shell,25,113509,0
1992,male,undetermined,new shell,30,113509,0
1992,male,undetermined,new shell,35,113509,0
1992,male,undetermined,new shell,40,113509,0
1992,male,undetermined,new shell,45,113509,0
1992,male,undetermined,new shell,50,113509,0
1992,male,undetermined,new shell,55,113509,0
1992,male,undetermined,new shell,60,113509,0
1992,male,undetermined,new shell,65,113509,0
1992,male,undetermined,new shell,70,113509,0
1992,male,undetermined,new shell,75,113509,0
1992,male,undetermined,new shell,80,113509,0
1992,male,undetermined,new shell,85,113509,0
1992,male,undetermined,new shell,90,113509,121.74221460185811
1992,male,undetermined,new shell,95,113509,486.96885840743244
1992,male,undetermined,new shell,100,113509,730.4532876111488
1992,male,undetermined,new shell,105,113509,973.9377168148649
