fishery,area,year,sex,maturity,shell condition,size,count
RKF,all EBS,2007,male,undetermined,old shell,180,1
RKF,all EBS,2008,male,undetermined,new shell,140,5
RKF,all EBS,2008,male,undetermined,new shell,141,1
RKF,all EBS,2008,male,undetermined,new shell,142,11
RKF,all EBS,2008,male,undetermined,new shell,143,11
RKF,all EBS,2008,male,undetermined,new shell,144,15
RKF,all EBS,2008,male,undetermined,new shell,145,13
RKF,all EBS,2008,male,undetermined,new shell,146,16
RKF,all EBS,2008,male,undetermined,new shell,147,11
RKF,all EBS,2008,male,undetermined,new shell,148,23
RKF,all EBS,2008,male,undetermined,new shell,149,25
RKF,all EBS,2008,male,undetermined,new shell,150,35
RKF,all EBS,2008,male,undetermined,new shell,151,23
RKF,all EBS,2008,male,undetermined,new shell,152,28
RKF,all EBS,2008,male,undetermined,new shell,153,26
RKF,all EBS,2008,male,undetermined,new shell,154,23
RKF,all EBS,2008,male,undetermined,new shell,155,32
RKF,all EBS,2008,male,undetermined,new shell,156,30
RKF,all EBS,2008,male,undetermined,new shell,157,22
RKF,all EBS,2008,male,undetermined,new shell,158,33
RKF,all EBS,2008,male,undetermined,new shell,159,19
RKF,all EBS,2008,male,undetermined,new shell,160,23
RKF,all EBS,2008,male,undetermined,new shell,161,22
RKF,all EBS,2008,male,undetermined,new shell,162,24
RKF,all EBS,2008,male,undetermined,new shell,163,18
RKF,all EBS,2008,male,undetermined,new shell,164,20
RKF,all EBS,2008,male,undetermined,new shell,165,16
RKF,all EBS,2008,male,undetermined,new shell,166,16
RKF,all EBS,2008,male,undetermined,new shell,167,9
RKF,all EBS,2008,male,undetermined,new shell,168,15
RKF,all EBS,2008,male,undetermined,new shell,169,15
RKF,all EBS,2008,male,undetermined,new shell,170,10
RKF,all EBS,2008,male,undetermined,new shell,171,11
RKF,all EBS,2008,male,undetermined,new shell,172,5
RKF,all EBS,2008,male,undetermined,new shell,173,5
RKF,all EBS,2008,male,undetermined,new shell,174,5
RKF,all EBS,2008,male,undetermined,old shell,138,1
RKF,all EBS,2008,male,undetermined,old shell,140,1
RKF,all EBS,2008,male,undetermined,old shell,141,1
RKF,all EBS,2008,male,undetermined,old shell,143,6
RKF,all EBS,2008,male,undetermined,old shell,144,3
RKF,all EBS,2008,male,undetermined,old shell,145,2
RKF,all EBS,2008,male,undetermined,old shell,146,1
RKF,all EBS,2008,male,undetermined,old shell,147,3
RKF,all EBS,2008,male,undetermined,old shell,148,4
RKF,all EBS,2008,male,undetermined,old shell,149,2
RKF,all EBS,2008,male,undetermined,old shell,150,2
RKF,all EBS,2008,male,undetermined,old shell,151,2
RKF,all EBS,2008,male,undetermined,old shell,152,8
RKF,all EBS,2008,male,undetermined,old shell,153,5
RKF,all EBS,2008,male,undetermined,old shell,154,5
RKF,all EBS,2008,male,undetermined,old shell,155,5
RKF,all EBS,2008,male,undetermined,old shell,156,3
RKF,all EBS,2008,male,undetermined,old shell,157,3
RKF,all EBS,2008,male,undetermined,old shell,158,1
RKF,all EBS,2008,male,undetermined,old shell,159,2
RKF,all EBS,2008,male,undetermined,old shell,160,2
