fishery,area,year,sex,maturity,shell condition,ss
TCF,all EBS,1992,male,undetermined,old shell,7765
TCF,all EBS,1992,male,undetermined,undetermined,4
TCF,all EBS,1993,female,undetermined,new shell,1248
TCF,all EBS,1993,female,undetermined,old shell,9223
TCF,all EBS,1993,male,undetermined,new shell,34022
TCF,all EBS,1993,male,undetermined,old shell,6366
TCF,all EBS,1993,male,undetermined,undetermined,3
TCF,all EBS,1994,female,undetermined,new shell,218
TCF,all EBS,1994,female,undetermined,old shell,1914
TCF,all EBS,1994,female,undetermined,undetermined,12
TCF,all EBS,1994,male,undetermined,new shell,4949
TCF,all EBS,1994,male,undetermined,old shell,843
TCF,all EBS,1994,male,undetermined,undetermined,129
TCF,all EBS,1995,female,undetermined,new shell,465
TCF,all EBS,1995,female,undetermined,old shell,2654
TCF,all EBS,1995,male,undetermined,new shell,1752
TCF,all EBS,1995,male,undetermined,old shell,3837
TCF,all EBS,1995,male,undetermined,undetermined,3
TCF,all EBS,1996,female,undetermined,new shell,1
TCF,all EBS,1996,female,undetermined,old shell,167
TCF,all EBS,1996,male,undetermined,new shell,47
TCF,all EBS,1996,male,undetermined,old shell,305
TCF,all EBS,1996,male,undetermined,undetermined,1
TCF,all EBS,2005,female,undetermined,new shell,74
TCF,all EBS,2005,female,undetermined,old shell,1033
TCF,all EBS,2005,female,undetermined,undetermined,1
TCF,all EBS,2005,male,undetermined,new shell,17220
TCF,all EBS,2005,male,undetermined,old shell,2495
TCF,all EBS,2005,male,undetermined,undetermined,47
TCF,all EBS,2006,female,undetermined,new shell,1652
TCF,all EBS,2006,female,undetermined,old shell,2780
TCF,all EBS,2006,male,undetermined,new shell,14652
TCF,all EBS,2006,male,undetermined,old shell,9574
TCF,all EBS,2006,male,undetermined,undetermined,18
TCF,all EBS,2007,female,undetermined,new shell,1534
TCF,all EBS,2007,female,undetermined,old shell,1784
TCF,all EBS,2007,female,undetermined,undetermined,1
TCF,all EBS,2007,male,undetermined,new shell,52159
TCF,all EBS,2007,male,undetermined,old shell,9387
TCF,all EBS,2007,male,undetermined,undetermined,428
TCF,all EBS,2008,female,undetermined,new shell,410
TCF,all EBS,2008,female,undetermined,old shell,236
TCF,all EBS,2008,female,undetermined,undetermined,8
TCF,all EBS,2008,male,undetermined,new shell,25951
TCF,all EBS,2008,male,undetermined,old shell,3215
TCF,all EBS,2008,male,undetermined,undetermined,217
TCF,all EBS,2009,female,undetermined,new shell,29
TCF,all EBS,2009,female,undetermined,old shell,118
TCF,all EBS,2009,male,undetermined,new shell,16137
TCF,all EBS,2009,male,undetermined,old shell,1152
TCF,all EBS,2009,male,undetermined,undetermined,4
TCF,all EBS,2013,female,undetermined,new shell,297
TCF,all EBS,2013,female,undetermined,old shell,417
TCF,all EBS,2013,hermaphrodite,undetermined,new shell,3
TCF,all EBS,2013,hermaphrodite,undetermined,old shell,7
TCF,all EBS,2013,male,undetermined,new shell,14564
TCF,all EBS,2013,male,undetermined,old shell,2727
TCF,all EBS,2013,male,undetermined,undetermined,1
TCF,all EBS,2014,female,undetermined,new shell,428
TCF,all EBS,2014,female,undetermined,old shell,764
TCF,all EBS,2014,female,undetermined,undetermined,8
TCF,all EBS,2014,hermaphrodite,undetermined,new shell,1
TCF,all EBS,2014,hermaphrodite,undetermined,old shell,12
TCF,all EBS,2014,male,undetermined,new shell,75854
TCF,all EBS,2014,male,undetermined,old shell,9268
TCF,all EBS,2014,male,undetermined,undetermined,558
TCF,all EBS,2015,female,undetermined,new shell,649
TCF,all EBS,2015,female,undetermined,old shell,977
TCF,all EBS,2015,female,undetermined,undetermined,1
TCF,all EBS,2015,hermaphrodite,undetermined,new shell,2
TCF,all EBS,2015,hermaphrodite,undetermined,old shell,1
TCF,all EBS,2015,male,undetermined,new shell,109530
TCF,all EBS,2015,male,undetermined,old shell,10316
TCF,all EBS,2015,male,undetermined,undetermined,92
TCF,all EBS,2015,undetermined,undetermined,new shell,1
TCF,all EBS,2015,undetermined,undetermined,old shell,1
TCF,all EBS,2017,female,undetermined,new shell,229
TCF,all EBS,2017,female,undetermined,old shell,1492
TCF,all EBS,2017,female,undetermined,undetermined,5
TCF,all EBS,2017,male,undetermined,new shell,13137
TCF,all EBS,2017,male,undetermined,old shell,5648
TCF,all EBS,2017,male,undetermined,undetermined,46
TCF,all EBS,2017,undetermined,undetermined,old shell,1
TCF,all EBS,2018,female,undetermined,new shell,131
TCF,all EBS,2018,female,undetermined,old shell,1905
TCF,all EBS,2018,hermaphrodite,undetermined,old shell,4
TCF,all EBS,2018,male,undetermined,new shell,10423
TCF,all EBS,2018,male,undetermined,old shell,17915
TCF,all EBS,2018,male,undetermined,undetermined,23
TCF,all EBS,2020,female,undetermined,new shell,602
TCF,all EBS,2020,female,undetermined,old shell,452
TCF,all EBS,2020,female,undetermined,undetermined,40
TCF,all EBS,2020,male,undetermined,new shell,13093
TCF,all EBS,2020,male,undetermined,old shell,4546
TCF,all EBS,2020,male,undetermined,undetermined,374
TCF,all EBS,2021,female,undetermined,new shell,186
TCF,all EBS,2021,female,undetermined,old shell,822
TCF,all EBS,2021,male,undetermined,new shell,16681
TCF,all EBS,2021,male,undetermined,old shell,2533
TCF,all EBS,2021,male,undetermined,undetermined,6
TCF,all EBS,2022,female,undetermined,new shell,101
TCF,all EBS,2022,female,undetermined,old shell,667
TCF,all EBS,2022,female,undetermined,undetermined,1
TCF,all EBS,2022,hermaphrodite,undetermined,new shell,1
TCF,all EBS,2022,male,undetermined,new shell,23334
TCF,all EBS,2022,male,undetermined,old shell,7303
TCF,all EBS,2022,male,undetermined,undetermined,115
TCF,all EBS,2023,female,undetermined,new shell,208
TCF,all EBS,2023,female,undetermined,old shell,358
TCF,all EBS,2023,female,undetermined,undetermined,5
TCF,all EBS,2023,male,undetermined,new shell,28485
TCF,all EBS,2023,male,undetermined,old shell,6151
TCF,all EBS,2023,male,undetermined,undetermined,27
TCF,all EBS,2024,female,undetermined,new shell,810
TCF,all EBS,2024,female,undetermined,old shell,1382
TCF,all EBS,2024,male,undetermined,new shell,39673
TCF,all EBS,2024,male,undetermined,old shell,10869
TCF,all EBS,2024,male,undetermined,undetermined,61
