"","obs","preds","y_up","y_dn","year","stock"
"271",0.419148413683326,0.341473872206804,0.370270636421047,0.312677107992561,2002,"PIRKC"
"281",0.379133999173555,0.369173594930547,0.393114723092979,0.345232466768114,2003,"PIRKC"
"291",0.30535336391279,0.195339735259242,0.230308344281108,0.160371126237375,2004,"PIRKC"
"301",0.239793369182085,0.323730365832181,0.347318311449915,0.300142420214448,2005,"PIRKC"
"311",0.238758023564665,0.309387492771515,0.338948831454751,0.279826154088279,2006,"PIRKC"
"321",0.264904605679572,0.227009393737194,0.256584540283494,0.197434247190893,2007,"PIRKC"
"331",0.275107564527402,0.236144265114781,0.256327866246095,0.215960663983467,2008,"PIRKC"
"341",0.238254676280291,0.235783208867267,0.25605229345189,0.215514124282644,2009,"PIRKC"
"351",0.185550618836367,0.208102324095089,0.240610939885613,0.175593708304566,2010,"PIRKC"
"361",0.147601381945838,0.298105531317706,0.321546531930921,0.274664530704491,2011,"PIRKC"
"371",0.138002578825644,0.26183844032505,0.309311397983595,0.214365482666505,2012,"PIRKC"
"381",0.162957974436631,0.316094983635006,0.349309281066725,0.282880686203286,2013,"PIRKC"
"391",0.24016957834489,0.359920747420651,0.390687938268448,0.329153556572855,2014,"PIRKC"
"401",0.37900298262562,0.617677457605918,0.675137114616281,0.560217800595555,2015,"PIRKC"
"411",0.505328810118782,0.436730484138416,0.472961763094457,0.400499205182375,2016,"PIRKC"
"421",0.524642915246621,0.399694885092127,0.435870210235343,0.363519559948911,2017,"PIRKC"
"431",0.45756770326463,0.399856012375275,0.458506760607327,0.341205264143223,2018,"PIRKC"
"441",0.350761408235567,0.394153015156966,0.432354696622642,0.355951333691289,2019,"PIRKC"
"46",0.237090602626928,0.343760729458604,0.368458291164623,0.319063167752584,2021,"PIRKC"
"471",0.23959416895072,0.287186822292139,0.312786239774465,0.261587404809813,2022,"PIRKC"
"4",0.0859493561164066,0.197878502040238,0.245721286905868,0.150035717174608,1981,"SMBKC"
"51",0.25075481557509,0.41272982997484,0.485964853470596,0.339494806479083,1982,"SMBKC"
"62",0.685112548239393,0.375714720398492,0.44936275489385,0.302066685903134,1983,"SMBKC"
"72",0.49087514611195,0.449577573923754,0.499072619422971,0.400082528424538,1984,"SMBKC"
"82",0.150235477303478,0.204251716301402,0.242027932606453,0.166475499996351,1985,"SMBKC"
"92",0.0579278358857517,0.186992818463761,0.227708793896354,0.146276843031169,1986,"SMBKC"
"102",0.0412691495929868,0.0942109478295719,0.121773257295306,0.066648638363838,1987,"SMBKC"
"112",0.0456047641635269,0.297669384128881,0.341823357982138,0.253515410275624,1988,"SMBKC"
"122",0.0713692596773795,0.215353576256338,0.249081463316871,0.181625689195806,1989,"SMBKC"
"132",0.0999419340348945,0.224686383993478,0.298370771728477,0.151001996258479,1990,"SMBKC"
"142",0.134045576017204,0.315971295076524,0.362383010337956,0.269559579815093,1991,"SMBKC"
"152",0.188547964702129,0.42227778433284,0.477279282083192,0.367276286582488,1992,"SMBKC"
"162",0.465100820832876,0.333805318013804,0.392141507570879,0.27546912845673,1993,"SMBKC"
"172",0.218051189266919,0.459544429099779,0.512804823337557,0.406284034862001,1994,"SMBKC"
"182",0.0785262606505218,0.212741862028421,0.263197283558651,0.162286440498192,1995,"SMBKC"
"192",0.096788921148367,0.376961833562094,0.424137507033958,0.329786160090229,1996,"SMBKC"
"202",0.357310780170623,0.384273621522846,0.44343567708431,0.325111565961382,1997,"SMBKC"
"212",0.833146650655397,0.453634544034718,0.506393582848907,0.400875505220529,1998,"SMBKC"
"222",0.236683100215271,0.574166665365832,0.632997327571879,0.515336003159784,1999,"SMBKC"
"232",0.173110327706459,0.217828805903157,0.268478257290406,0.167179354515907,2000,"SMBKC"
"242",0.439965561599464,0.375278355904387,0.449899400339582,0.300657311469191,2001,"SMBKC"
"252",0.206480369348243,0.231845069944795,0.278335865836048,0.185354274053541,2002,"SMBKC"
"262",0.0951284689503542,0.313949909349994,0.410497694368494,0.217402124331493,2003,"SMBKC"
"272",0.060606758593033,0.139217204355367,0.18292027929468,0.0955141294160539,2004,"SMBKC"
"282",0.0493829700364583,0.200131963675059,0.23882452798827,0.161439399361849,2005,"SMBKC"
"292",0.0513045038635268,0.217513469790343,0.255004076136898,0.180022863443789,2006,"SMBKC"
"302",0.060894732412206,0.214883707507898,0.255095815423539,0.174671599592256,2007,"SMBKC"
"312",0.0677544189261173,0.162297708949204,0.196043306700269,0.128552111198139,2008,"SMBKC"
"322",0.0890793612941353,0.10096735454617,0.138627373423206,0.0633073356691339,2009,"SMBKC"
"332",0.213153425988379,0.278260757191767,0.325466938271554,0.231054576111979,2010,"SMBKC"
"342",0.57040655745565,0.557357126393094,0.622181351909854,0.492532900876333,2011,"SMBKC"
"352",0.587060836192163,0.374357530903391,0.427195130717968,0.321519931088815,2012,"SMBKC"
"362",0.163323681888904,0.399321594536431,0.474593971095155,0.324049217977707,2013,"SMBKC"
"372",0.137911202256127,0.272390061005706,0.325664837998533,0.219115284012879,2014,"SMBKC"
"382",0.291909947089219,0.391834883315324,0.463475541820086,0.320194224810562,2015,"SMBKC"
"392",0.416476760333617,0.292226865140192,0.351673491410092,0.232780238870292,2016,"SMBKC"
"402",0.18394783633405,0.280635543921672,0.328969643739378,0.232301444103965,2017,"SMBKC"
"412",0.121297595451436,0.239937136306688,0.305734175893293,0.174140096720084,2018,"SMBKC"
"422",0.202932570794817,0.158795340813376,0.219253987325395,0.0983366943013578,2019,"SMBKC"
"432",NA,0.144229467449315,0.189807812964772,0.0986511219338581,2020,"SMBKC"
"451",0.270937633588743,0.203270974489223,0.256610602282207,0.14993134669624,2022,"SMBKC"
"461",NA,0.075900862659838,0.120043042125659,0.0317586831940166,2023,"SMBKC"
"63",0.156611860086003,0.181500016577351,0.221843649427824,0.141156383726879,1980,"PIBKC"
"73",0.275621331112376,0.215822839525152,0.237874436262676,0.193771242787627,1981,"PIBKC"
"83",0.401733516673071,0.274327798316784,0.290698255289338,0.25795734134423,1982,"PIBKC"
"93",0.463217341943188,0.371742791730598,0.39128012633649,0.352205457124707,1983,"PIBKC"
"103",0.406869003702546,0.296640320535363,0.312686260413394,0.280594380657332,1984,"PIBKC"
"113",0.278328334176829,0.343895780271713,0.35656303564912,0.331228524894307,1985,"PIBKC"
"123",0.170887974762498,0.343239151931248,0.367233996603908,0.319244307258588,1986,"PIBKC"
"133",0.110674527791887,0.35746821826695,0.375750377635684,0.339186058898215,1987,"PIBKC"
"143",0.0835885188997574,0.189782809899483,0.21343909263948,0.166126527159485,1988,"PIBKC"
"153",0.0767237560154378,0.212686392000725,0.235511659953464,0.189861124047986,1989,"PIBKC"
"163",0.0845951934393012,0.21481147511907,0.230960444650506,0.198662505587633,1990,"PIBKC"
"173",0.10671535723652,0.227481833512623,0.246178649933953,0.208785017091292,1991,"PIBKC"
"183",0.143051966574973,0.170317872088764,0.188442449740199,0.152193294437329,1992,"PIBKC"
"193",0.189403595174932,0.21763857606904,0.234760440880957,0.200516711257123,1993,"PIBKC"
"203",0.236771639840248,0.21896468005106,0.235840682969232,0.202088677132889,1994,"PIBKC"
"213",0.27966795523858,0.237751359756089,0.257254980974751,0.218247738537427,1995,"PIBKC"
"223",0.313256899051208,0.277218104303841,0.296810537312876,0.257625671294805,1996,"PIBKC"
"233",0.338951454952241,0.306641224289691,0.328481108692995,0.284801339886387,1997,"PIBKC"
"243",0.362375036511014,0.365902387663773,0.384099269003043,0.347705506324503,1998,"PIBKC"
"253",0.381864135365454,0.363869367912648,0.380391973784127,0.34734676204117,1999,"PIBKC"
"263",0.402412761514014,0.388444841326682,0.411389819469661,0.365499863183702,2000,"PIBKC"
"273",0.415472821246202,0.304196340793666,0.319630459672215,0.288762221915117,2001,"PIBKC"
"283",0.414399229153696,0.368263726831197,0.391703785362241,0.344823668300153,2002,"PIBKC"
"293",0.401251718256149,0.309274602257102,0.325810623599949,0.292738580914256,2003,"PIBKC"
"303",0.374670144708418,0.284040157381625,0.302466295295586,0.265614019467664,2004,"PIBKC"
"313",0.344508537321674,0.22234556623046,0.25166212586076,0.193029006600161,2005,"PIBKC"
"323",0.312451564302916,0.297202846095393,0.312227869834225,0.28217782235656,2006,"PIBKC"
"333",0.285967643184072,0.244937771578454,0.266004880470547,0.223870662686362,2007,"PIBKC"
"343",0.268161926092237,0.265077399993678,0.282696832825145,0.24745796716221,2008,"PIBKC"
"353",0.260065048480741,0.281173504494604,0.300046689575787,0.26230031941342,2009,"PIBKC"
"363",0.259740885985571,0.272434145663139,0.294676801352701,0.250191489973577,2010,"PIBKC"
"373",0.266148069293201,0.312847093269599,0.32960368966102,0.296090496878177,2011,"PIBKC"
"383",0.277148881585602,0.328467000475097,0.353940444017587,0.302993556932608,2012,"PIBKC"
"393",0.286942345510231,0.302339373168615,0.322511627170232,0.282167119166997,2013,"PIBKC"
"403",0.289786038415138,0.289517406919533,0.304561913708366,0.2744729001307,2014,"PIBKC"
"413",0.280050350019549,0.312448293369304,0.33106806856438,0.293828518174228,2015,"PIBKC"
"423",0.253328537626399,0.300250959481,0.322118139461115,0.278383779500884,2016,"PIBKC"
"433",0.217836123773818,0.238858385678423,0.259786916780705,0.217929854576142,2017,"PIBKC"
"442",0.184662385011406,0.232399432803746,0.258933188565059,0.205865677042433,2018,"PIBKC"
"452",0.16077547662317,0.244117328053468,0.266663007155896,0.221571648951039,2019,"PIBKC"
"472",0.147223685704499,0.309415416262788,0.327665684743849,0.291165147781727,2021,"PIBKC"
"481",0.157748823632415,0.300730509851856,0.325173044522088,0.276287975181624,2022,"PIBKC"
"3",0.304641681438198,0.534691075730542,0.575784481079058,0.493597670382027,1982,"Snow_mat"
"49",0.56639226933882,0.500101655893997,0.536564200964148,0.463639110823846,1983,"Snow_mat"
"52",0.822444137274464,0.492135696567861,0.524413889473195,0.459857503662526,1984,"Snow_mat"
"64",0.233973871875373,0.374913365780469,0.418627376463012,0.331199355097926,1985,"Snow_mat"
"74",0.12022580409618,0.354494258235018,0.387077970874209,0.321910545595826,1986,"Snow_mat"
